,overall,reviewText,summary,sentiment
0,5.0,"This is the best novel I have read in 2 or 3 years.  It is everything that fiction should be -- beautifully written, engaging, well-plotted and structured.  It has several layers of meanings -- historical, family,  philosophical and more -- and blends them all skillfully and interestingly.  It makes the American grad student/writers' workshop ""my parents were  mean to me and then my professors were mean to me"" trivia look  childish and silly by comparison, as they are.
Anyone who says this is an  adolescent girl's coming of age story is trivializing it.  Ignore them.  Read this book if you love literature.
I was particularly impressed with  this young author's grasp of the meaning and texture of the lost world of  French Algeria in the 1950's and '60's...particularly poignant when read in  1999 from another ruined and abandoned French colony, amid the decaying  buildings of Phnom Penh...
I hope the author will write many more books  and that her publishers will bring her first novel back into print -- I  want to read it.  Thank you, Ms. Messud, for writing such a wonderful work.",A star is born,positive
1,3.0,"Pages and pages of introspection, in the style of writers like Henry James.  I like this kind of  novels and the writer occasionally delights me with her descriptions and observations.  But it's way too repetitious for me and, I think, some parts could have been cut out while still preserving, and probably more tightly crystallizing, the themes and ""truths"" within the story.

It's a story I could relate to but I wish it hadn't been too tedious to read.",A stream of consciousness novel,positive
2,5.0,"This is the kind of novel to read when you have time to lose yourself in a book for days, possibly weeks. I had to go back and reread it as soon as I finished it because it is so rich in historical and psychological  details, particularly themes centering on painful family dynamics and history.

Potential readers of this novel by Claire Messud should know it isn't exactly a sunny, bouncy work. If you are looking for that you'll want to look elsewhere. It also moves between countries, including sections based in France, the U.S. and Algeria.

The focus of the novel is the LaBasse family and the story is told from the viewpoint of Sagesse, a woman who conveys the weight of a turbulent family history. Starting with Sagesse's grandfather, a man who owns the Hotel Bellevue in France,the family dynamics begin to play themselves out, connecting to larger themes of France and Algeria's history as well, with stunning consequences.

Sagesse's parents, Alex and Carol, reveal plenty about the kind of problems that can arise when there are cross-cultural challenges to face in a marriage. Carol, coming from America, marries Alex, but is unable to see the potential sacrifices and problems she'll face as she moves overseas to live with her husband...or the impact the marriage will have on her daughter and the rest of the family, including a handicapped son.

 It is a bit hard to categorize this book because it covers so many areas. It is part mystery because Sagesse is trying to separate truth from myth when figuring out her family's history. It is part suspense because of Sagesse's short love affair and a moment of violence (and I don't want to give the details of that moment or I'll spoil it for you). It is also a historical novel, rich with information about events in Algeria and France and the United States.

For me, also, this one centers on themes of personal identity and displacement,primarily for Sagesse, a woman trying to figure out where she belongs in the world and how to make peace with her difficult family as well as coming to grips with history's impact on her family.",I'm a huge fan of the author and this one did not disappoint,positive
3,5.0,"What gorgeous language! What an incredible writer! The Last Life is one of  the best written novels I have ever read. This incredible novel contains  various elements of fiction: historical, philosophical, and just the right  touch of magical realism.
The story is about a French-Algerian family  and the constant moving to different parts of the world -- the South of  France, the East Coast of the U.S. and Algeria -- has affected each of  their lives. It seems as though each family member has found his or her  identity in one of the many places they have been. As a result, they never  feel like they have found a home. The thing that struck me most when  reading this book was how the author described life in the lost world of  French Algeria in the 1950's. The historical part of the novel is  incredibly accurate. Let me tell you that I have learned a lot of important  parts of history in this book. I also love the fact that the story is told  through the eyes of fourteen-year-old Lagesse, seen through the eyes of  innocence indeed!  The Last Life is -- without a  stretch of doubt -- the best historical fiction novel I have ever read.  This novel should not be overlooked. Run along and get it!",The most beautiful book I have ever read!,positive
4,3.0,"I was taken in by reviews that compared this book with The Leopard or promised a bildungsroman set in a family that is isolated and on the move.  Well...I didn't feel any parallel with The Leopard and the author overstuffs her story with so many events that isolation is lost in the opportunity for  so many subplots.  And who's moving - in any sense - in this novel?  Where's the ""bildung?""  The denouement?  The dsillusionner?  I must have  skimmed the wrong paragraph.
I do agree that parts of the novel are very  engaging.  They are.  And, like some other readers, I did enjoy the events  in Algeria.  This is the strongest part of the novel, perhaps because it is  not so deeply stuck in the protagonist's life that had the unfortunate  knack of boring me in the first-person!  (Yeah, that's what I mean.)  Overall, the novel is just a bit overdone.  I prefer a bildungsroman - if  that's what this should be - to show me a growth, not tell me all about the  all-too-interesting things that happened along the way.
If you're the  kind of person who can sit for hours and listen to a friend tell you  endless stories about herself that you can't help but suspect are just a  tad trumped up, then you might really dig into this novel.  Otherwise you  might have an experience more like mine which was one of detached interest.  For my part, I was relieved that I could close the book whenever I wanted  to quiet my jabbery friend.",A dissenting view--In part.,positive
5,4.0,"I read this probably 50 years ago in my youth and I just re-read it for the first time.  It was a fun read but not as good as my memory of it.

Barry",Above average mystery,positive
6,5.0,"I read every Perry mason book voraciously. Finding the Lam/Cool mysteries, and getting to enjoy more of Gardner's characters, is like Christmas morning as a kid. Each book is a gift!",Lam is cool!,positive
7,5.0,I love this series of Bertha and Lamb..  Great novels.,Five Stars,positive
8,5.0,Great read!,Five Stars,positive
9,4.0,"Crows Can't Count, A.A. Fair

Mr. Harry Sharples came to the Cool & Lam Agency; he was a co-trustee for a trust fund that will terminate when the youngest beneficiary turns 25. One of the heirs, Robert Hockley, is wild and gambles. The other, Shirley Bruce, isn't but refuses to take more than the other. A large part of the estate is in Colombian emerald mines. A jeweler has an emerald pendant for sale. Sharples believes this was part of the estate given to Shirley Bruce. Sharples wants Lam to find out how the jeweler got the pendant, and if any pressure was used (Chapter 1). Chapter 2 describes the preliminary investigation. Lam sees Robert Cameron, the other co-trustee show up. Sharples is surprised and astonished to hear this news (Chapter 3). When Lam and Sharples go to visit Cameron, they find a dead body. They call the police from outside the house (Chapter 4). Sharples tells Sgt. Sam Buda that Cameron had no enemies (Chapter 5). The emerald pendant was there. The police investigate the jeweler and the stockbroker who was visited by Robert Cameron earlier that day (Chapter 8).

Lam visits Dona Grafton, who minded Cameron's crow when Cameron left the country (Chapter 11). An anonymous donor sent Dona a box of chocolates. Lam inspects the crow's nest. Lam learns that Robert Hockley was getting a passport and decides to follow him (Chapter 12). The police bring Lam to Sharples' residence. His office is disordered as from a struggle, and Sharples is missing (Chapter 15). Lam meets George Prenter on the airplane, and hears of the wonderful life and climate in Medellin Colombia (Chapter 16). A visitor surprises Lam and we learn the true facts behind the earlier events (Chapter 17). Lam learns that someone else has been killed (Chapter 19).

Lam and Cool get a telephone call about a prison escape. They will be guarded (Chapter 21). Lam and ""the delightful Senora Cool"" will be allowed to return to California as soon as possible (Chapter 22). Then Lam visits Dona Grafton and asks questions (Chapter 23). There is amazing testimony from a witness in Chapter 24. Lam places a call to the police so they will get an interpreter and notary public. This written statement will convict a businessman of fraud, and affect the wealth in a trust. Lam explains the facts behind the scandal (Chapter 25). [Do you remember the story of King Solomon and the disputed child?] The pieces of the jigsaw puzzle fall into place, just as the apple falls close to its tree (Chapter 26). One benefit of this story is the description of the trip to Colombia.",A Fast and Far Moving Adventure,positive
