,Negative,Positive,Word
0,0.00012900848808248904,8.583858444370737e-05,00
1,4.788524666817274e-05,4.838174759554423e-05,000
2,1.1267116863099467e-06,7.803507676700674e-07,0000
3,1.1267116863099467e-06,7.803507676700674e-07,00000000
4,1.690067529464919e-06,1.5607015353401349e-06,00001
5,5.633558431549732e-07,1.5607015353401349e-06,000hrs
6,1.1267116863099467e-06,1.5607015353401349e-06,000hz
7,5.633558431549732e-07,1.5607015353401349e-06,000mm
8,1.1267116863099467e-06,7.803507676700674e-07,000s
9,5.633558431549732e-07,1.5607015353401349e-06,000w
10,1.690067529464919e-06,7.803507676700674e-07,001
11,5.633558431549732e-07,1.5607015353401349e-06,002
12,1.690067529464919e-06,7.803507676700674e-07,003472
13,1.1267116863099467e-06,1.5607015353401349e-06,004
14,1.1267116863099467e-06,7.803507676700674e-07,005
15,1.690067529464919e-06,7.803507676700674e-07,006
16,1.1267116863099467e-06,7.803507676700674e-07,006y
17,5.633558431549732e-07,1.5607015353401349e-06,007
18,2.2534233726198934e-06,7.803507676700674e-07,00am
19,5.633558431549732e-07,2.341052303010201e-06,00m1wn
20,1.690067529464919e-06,7.803507676700674e-07,00pm
21,2.422430125566384e-05,7.023156909030611e-06,01
22,4.506846745239788e-06,3.12140307068027e-06,010
23,2.8167792157748644e-06,1.5607015353401349e-06,010m
24,1.1267116863099467e-06,7.803507676700674e-07,011855
25,1.1267116863099467e-06,7.803507676700674e-07,0123
26,1.1267116863099467e-06,7.803507676700674e-07,015
27,1.690067529464919e-06,7.803507676700674e-07,01526
28,5.633558431549732e-07,2.341052303010201e-06,016
29,1.1267116863099467e-06,7.803507676700674e-07,0180
30,5.633558431549732e-07,2.341052303010201e-06,01961
31,5.633558431549732e-07,1.5607015353401349e-06,01c
32,5.633558431549732e-07,2.341052303010201e-06,01f
33,5.633558431549732e-07,1.5607015353401349e-06,01fhslqo9ss
34,5.633558431549732e-07,1.5607015353401349e-06,01j
35,5.633558431549732e-07,1.5607015353401349e-06,01qj6bc2sks
36,5.633558431549732e-07,1.5607015353401349e-06,01s
37,1.1830472706254435e-05,7.023156909030611e-06,02
38,5.633558431549732e-07,2.341052303010201e-06,020
39,5.633558431549732e-07,1.5607015353401349e-06,02142
40,5.633558431549732e-07,1.5607015353401349e-06,0230
41,1.1267116863099467e-06,7.803507676700674e-07,0258
42,2.8167792157748644e-06,7.803507676700674e-07,026
43,5.633558431549732e-07,1.5607015353401349e-06,02a
44,5.633558431549732e-07,1.5607015353401349e-06,02rg20
45,1.1267116863099467e-06,7.803507676700674e-07,02v
46,1.4083896078874336e-05,8.583858444370743e-06,03
47,1.1267116863099467e-06,7.803507676700674e-07,0310021431
48,5.633558431549732e-07,1.5607015353401349e-06,03130
49,5.633558431549732e-07,1.5607015353401349e-06,0345b002
50,5.633558431549732e-07,1.5607015353401349e-06,035rl
51,5.633558431549732e-07,2.341052303010201e-06,037
52,5.633558431549732e-07,2.341052303010201e-06,03rg20
53,1.5773963608339256e-05,1.560701535340134e-05,04
54,1.690067529464919e-06,1.5607015353401349e-06,0403
55,5.633558431549732e-07,1.5607015353401349e-06,0404
56,2.5351012941973795e-05,1.0924910747380946e-05,05
57,1.1267116863099467e-06,7.803507676700674e-07,0508
58,5.633558431549732e-07,1.5607015353401349e-06,055xprob
59,1.1267116863099467e-06,7.803507676700674e-07,05thd
60,1.6337319451494235e-05,1.0144559979710872e-05,06
61,1.1267116863099467e-06,7.803507676700674e-07,060805
62,5.633558431549732e-07,1.5607015353401349e-06,062
63,5.633558431549732e-07,1.5607015353401349e-06,0636
64,1.9717454510424053e-05,8.583858444370743e-06,07
65,1.1267116863099467e-06,2.341052303010201e-06,0700
66,5.633558431549732e-07,1.5607015353401349e-06,07199
67,1.5773963608339256e-05,7.023156909030611e-06,08
68,5.633558431549732e-07,1.5607015353401349e-06,080
69,1.1267116863099467e-06,7.803507676700674e-07,08387
70,1.1267116863099467e-06,7.803507676700674e-07,088lbp
71,1.1267116863099467e-06,7.803507676700674e-07,08inch
72,9.013693490479575e-06,3.901753838350334e-06,09
73,1.1267116863099467e-06,7.803507676700674e-07,091
74,5.633558431549732e-07,2.341052303010201e-06,0914
75,2.2534233726198934e-06,1.5607015353401349e-06,0a
76,1.690067529464919e-06,7.803507676700674e-07,0d
77,5.633558431549732e-07,1.5607015353401349e-06,0dbmv
78,1.690067529464919e-06,7.803507676700674e-07,0e
79,5.633558431549732e-07,2.341052303010201e-06,0g
80,1.1267116863099467e-06,7.803507676700674e-07,0ga
81,3.380135058929838e-06,7.803507676700674e-07,0l
82,3.943490902084813e-06,7.803507676700674e-07,0lympus
83,2.2534233726198934e-06,7.803507676700674e-07,0mm
84,1.1267116863099467e-06,1.5607015353401349e-06,0mp
85,5.633558431549732e-07,1.5607015353401349e-06,0ns
86,5.633558431549732e-07,1.5607015353401349e-06,0ptical
87,1.1267116863099467e-06,7.803507676700674e-07,0px
88,1.690067529464919e-06,1.5607015353401349e-06,0r
89,1.690067529464919e-06,7.803507676700674e-07,0s
90,1.1267116863099467e-06,7.803507676700674e-07,0sx
91,1.1267116863099467e-06,7.803507676700674e-07,0v
92,5.633558431549732e-07,1.5607015353401349e-06,0w3gar_i
93,2.2534233726198934e-06,1.5607015353401349e-06,0x
94,0.0007486999155529597,0.0006523732417721764,10
95,0.00035885767208971794,0.00044870169141028886,100
96,5.07020258839476e-05,7.179227062564621e-05,1000
97,5.633558431549732e-07,1.5607015353401349e-06,10000
98,1.1267116863099467e-06,7.803507676700674e-07,100000000000000
99,1.1267116863099467e-06,7.803507676700674e-07,10000base
100,5.633558431549732e-07,1.5607015353401349e-06,1000am
101,1.690067529464919e-06,7.803507676700674e-07,1000ap
102,1.690067529464919e-06,7.803507676700674e-07,1000base
103,1.1267116863099467e-06,7.803507676700674e-07,1000baset
104,1.1267116863099467e-06,1.5607015353401349e-06,1000d
105,5.633558431549732e-07,1.5607015353401349e-06,1000ft
106,5.633558431549732e-07,1.5607015353401349e-06,1000gbps
107,2.2534233726198934e-06,1.5607015353401349e-06,1000m
108,1.1267116863099467e-06,7.803507676700674e-07,1000ma
109,1.690067529464919e-06,3.12140307068027e-06,1000mb
110,1.690067529464919e-06,7.803507676700674e-07,1000mbit
111,3.380135058929838e-06,5.462455373690473e-06,1000mbps
112,1.1267116863099467e-06,7.803507676700674e-07,1000mhz
113,1.1267116863099467e-06,3.12140307068027e-06,1000mm
114,1.1267116863099467e-06,7.803507676700674e-07,1000s
115,5.633558431549732e-07,2.341052303010201e-06,1000th
116,2.8167792157748644e-06,2.341052303010201e-06,1000w
117,1.690067529464919e-06,1.5607015353401349e-06,1000x
118,5.633558431549732e-07,1.5607015353401349e-06,1001062
119,1.1267116863099467e-06,7.803507676700674e-07,10011
120,1.1267116863099467e-06,1.5607015353401349e-06,1001z
121,5.633558431549732e-07,2.341052303010201e-06,10025010
122,5.633558431549732e-07,1.5607015353401349e-06,1005g
123,1.1267116863099467e-06,7.803507676700674e-07,1007
124,1.1267116863099467e-06,7.803507676700674e-07,1008
125,5.633558431549732e-07,1.5607015353401349e-06,100b
126,1.1267116863099467e-06,7.803507676700674e-07,100b12
127,1.690067529464919e-06,7.803507676700674e-07,100base
128,1.1267116863099467e-06,2.341052303010201e-06,100baset
129,5.633558431549732e-07,1.5607015353401349e-06,100basetx
130,5.633558431549732e-07,1.5607015353401349e-06,100buck
131,5.633558431549732e-07,1.5607015353401349e-06,100c
132,1.690067529464919e-06,7.803507676700674e-07,100cl
133,5.633558431549732e-07,5.462455373690473e-06,100dg
134,1.1267116863099467e-06,7.803507676700674e-07,100dvd
135,1.1267116863099467e-06,7.803507676700674e-07,100eg
136,1.1267116863099467e-06,7.803507676700674e-07,100feet
137,1.1830472706254435e-05,7.803507676700683e-06,100ft
138,5.633558431549732e-07,1.5607015353401349e-06,100gb
139,5.633558431549732e-07,1.5607015353401349e-06,100hs
140,3.943490902084813e-06,3.12140307068027e-06,100hz
141,1.1267116863099467e-06,7.803507676700674e-07,100kb
142,1.1267116863099467e-06,7.803507676700674e-07,100km
143,1.1267116863099467e-06,7.803507676700674e-07,100kwer
144,1.1267116863099467e-06,7.803507676700674e-07,100lbs
145,3.380135058929838e-06,7.803507676700674e-07,100m
146,1.1267116863099467e-06,1.5607015353401349e-06,100ma
147,6.760270117859677e-06,8.583858444370743e-06,100mb
148,1.690067529464919e-06,2.341052303010201e-06,100mbit
149,6.196914274704707e-06,9.364209212040806e-06,100mbps
150,5.633558431549732e-07,1.5607015353401349e-06,100mbs
151,5.633558431549732e-07,1.5607015353401349e-06,100megs
152,5.633558431549732e-07,1.5607015353401349e-06,100mg
153,1.690067529464919e-06,1.5607015353401349e-06,100mhz
154,7.3236259610146495e-06,2.6531926100782318e-05,100mm
155,1.1267116863099467e-06,7.803507676700674e-07,100mps
156,1.1267116863099467e-06,7.803507676700674e-07,100ms
157,5.633558431549732e-07,1.5607015353401349e-06,100pack
158,1.690067529464919e-06,7.803507676700674e-07,100pc
159,5.633558431549732e-07,2.341052303010201e-06,100per
160,1.1267116863099467e-06,7.803507676700674e-07,100pk
161,3.380135058929838e-06,9.364209212040806e-06,100s
162,5.633558431549732e-07,1.5607015353401349e-06,100speed
163,1.1267116863099467e-06,7.803507676700674e-07,100th
164,1.690067529464919e-06,7.803507676700674e-07,100usd
165,1.690067529464919e-06,7.803507676700674e-07,100v
166,6.196914274704707e-06,5.462455373690473e-06,100w
167,4.506846745239788e-06,2.341052303010201e-06,100watt
168,2.8167792157748644e-06,4.682104606020402e-06,100x
169,5.633558431549732e-07,1.5607015353401349e-06,100x100
170,5.633558431549732e-07,1.5607015353401349e-06,100xl
171,5.633558431549732e-07,1.5607015353401349e-06,100yd
172,1.0703761019944491e-05,6.242806141360541e-06,101
173,1.1267116863099467e-06,7.803507676700674e-07,101025700
174,5.633558431549732e-07,2.341052303010201e-06,1010lt
175,2.2534233726198934e-06,7.803507676700674e-07,1012
176,5.633558431549732e-07,1.5607015353401349e-06,1019ah
177,1.1267116863099467e-06,7.803507676700674e-07,1019ahk
178,2.8167792157748644e-06,7.803507676700674e-07,101p
179,5.633558431549732e-07,1.5607015353401349e-06,101s
180,2.8167792157748644e-06,5.462455373690473e-06,102
181,2.2534233726198934e-06,1.5607015353401349e-06,1020
182,5.633558431549732e-07,1.5607015353401349e-06,1021k
183,2.2534233726198934e-06,7.803507676700674e-07,1022
184,5.633558431549732e-07,1.5607015353401349e-06,1023k
185,6.196914274704707e-06,5.462455373690473e-06,1024
186,1.1267116863099467e-06,7.803507676700674e-07,1024d
187,5.633558431549732e-07,1.5607015353401349e-06,1024x
188,5.633558431549732e-07,3.12140307068027e-06,1024x480
189,6.196914274704707e-06,2.106947072709182e-05,1024x768
190,1.1267116863099467e-06,7.803507676700674e-07,102dv
191,2.8167792157748644e-06,5.462455373690473e-06,103
192,1.1267116863099467e-06,7.803507676700674e-07,103v
193,2.2534233726198934e-06,3.901753838350334e-06,104
194,1.1267116863099467e-06,7.803507676700674e-07,1040
195,5.633558431549732e-07,1.5607015353401349e-06,1045
196,1.1267116863099467e-06,7.803507676700674e-07,104s
197,1.4083896078874336e-05,2.4971224565442168e-05,105
198,1.1267116863099467e-06,7.803507676700674e-07,105c
199,5.633558431549732e-07,1.5607015353401349e-06,105f
200,5.633558431549732e-07,1.5607015353401349e-06,105g
201,3.380135058929838e-06,3.12140307068027e-06,105l
