,Negative,Positive,Word
0,-10.914560645359956,-11.07916434612452,00
1,-11.186597735234567,-11.590893476397323,000
2,-11.776375198035943,-11.76316946709459,0000
3,-11.834460740476194,-11.818865558242228,0000001
4,-11.703522333796625,-11.818865558242228,0001
5,-11.880620375848538,-11.818865558242228,0005
6,-11.623045891929134,-11.62841857173281,001
7,-11.870567754928503,-11.818865558242228,002
8,-11.958639001006308,-11.568393417414079,00248
9,-11.784056351445532,-11.818865558242228,002v
10,-11.958639001006308,-11.731276322077864,003
11,-11.88341597287726,-11.6795641756104,005
12,-11.812301858485634,-11.818865558242228,005thd
13,-11.958639001006308,-11.674553087449501,006
14,-11.701064104782265,-11.818865558242228,006y
15,-11.958639001006308,-11.71423861927057,007
16,-11.690963915378363,-11.818865558242228,008
17,-11.695362035028415,-11.818865558242228,00am
18,-11.567242253798259,-11.818865558242228,00pm
19,-11.958639001006308,-11.727937296843162,00s
20,-10.542770251281805,-11.364108546971377,01
21,-11.42410776546774,-11.644335124520431,010
22,-11.958639001006308,-11.452087776766074,0115
23,-11.82679288519138,-11.818865558242228,011855
24,-11.958639001006308,-11.753674483772292,012
25,-11.78343696115293,-11.818865558242228,0123
26,-11.958639001006308,-11.740997368733538,014mm
27,-11.958639001006308,-11.666204123748432,015
28,-11.833923348862402,-11.818865558242228,01526
29,-11.958639001006308,-11.67633785615352,018
30,-11.719873391023077,-11.681291140042624,019
31,-11.7934982487289,-11.818865558242228,01961
32,-11.618867922993704,-11.818865558242228,01mhz
33,-11.718413765691428,-11.818865558242228,01mm
34,-10.833731908249316,-11.355134487726707,02
35,-11.611706422771835,-11.684820490052461,020
36,-11.958639001006308,-11.452502597717102,02047
37,-11.958639001006308,-11.763987349091375,02072009
38,-11.958639001006308,-11.740997368733538,024mm
39,-11.910549794284828,-11.55700560591329,025
40,-11.730366492587697,-11.818865558242228,025215290053
41,-11.895388695466464,-11.818865558242228,0258
42,-11.41482353778953,-11.818865558242228,026
43,-11.958639001006308,-11.513717817383345,02c
44,-11.866506373109353,-11.818865558242228,02mb
45,-11.10189662088609,-10.831621498189651,03
46,-11.958639001006308,-11.593529452655124,03182
47,-11.821060794650041,-11.818865558242228,0361
48,-11.958639001006308,-11.740891962990334,037
49,-11.958639001006308,-11.740997368733538,03mm
50,-11.958639001006308,-11.514057158283986,03rg20
51,-10.978646472700914,-11.209629589462464,04
52,-11.761163237708208,-11.728665322111883,0403
53,-11.958639001006308,-11.724325615298442,042388
54,-11.752069062431032,-11.818865558242228,045
55,-11.958639001006308,-11.397616183338753,045m
56,-11.81126947018726,-11.818865558242228,04mpsless
57,-10.326815126083456,-10.963332834838608,05
58,-11.538566591853863,-11.818865558242228,050
59,-11.958639001006308,-11.677869542986864,0500
60,-11.912372883968809,-11.818865558242228,0508
61,-11.877050836897462,-11.818865558242228,055
62,-11.958639001006308,-11.728770557356723,05598
63,-11.958639001006308,-11.526416022357111,0562
64,-11.821060794650041,-11.818865558242228,0577
65,-11.86139603316081,-11.818865558242228,05a
66,-11.695385628890003,-11.818865558242228,05mm
67,-10.605182933698366,-10.784853805316054,06
68,-11.82679288519138,-11.818865558242228,060805
69,-11.91224781310497,-11.818865558242228,062011
70,-11.958639001006308,-11.741722238810265,06414
71,-11.671894723825622,-11.818865558242228,06i
72,-11.958639001006308,-11.762979969640899,06m
73,-10.894900993715982,-11.276683943224025,07
74,-11.762312727452525,-11.818865558242228,0700
75,-11.812301858485634,-11.818865558242228,0707
76,-11.958639001006308,-11.746915745724378,073102
77,-11.958639001006308,-11.633550091114893,0750
78,-11.76808368166427,-11.818865558242228,075mm
79,-11.721252911035545,-11.818865558242228,079
80,-11.756644674137151,-11.818865558242228,07i
81,-11.060281499392648,-11.019866822641958,08
82,-11.886876786835666,-11.818865558242228,080
83,-11.847975704864192,-11.818865558242228,08387
84,-11.756611764878773,-11.818865558242228,088lbp
85,-10.962886369938095,-11.198094526606956,09
86,-11.864803317809368,-11.581687527155113,091
87,-11.70553858203828,-11.818865558242228,099
88,-11.61583985257171,-11.818865558242228,0lympus
89,-11.958639001006308,-11.442389964091866,0ptical
90,-11.507838960813618,-11.818865558242228,0s
91,-11.806459605446744,-11.818865558242228,0sx
92,-8.01119544924299,-8.325049005591794,10
93,-8.041572580917217,-7.747708966301776,100
94,-9.305063608261499,-9.365553064278501,1000
95,-10.878108932343086,-10.808673273663874,10000
96,-11.758061468540273,-11.26217356362803,100000
97,-11.886703786114731,-11.818865558242228,100000000
98,-11.878919836167816,-11.818865558242228,1000021669
99,-11.958639001006308,-11.618482729454108,10000mah
100,-11.614597414067191,-11.818865558242228,1000ap
101,-11.852083303826822,-11.818865558242228,1000base
102,-11.88029414881672,-11.818865558242228,1000d
103,-11.958639001006308,-11.613402242787782,1000h
104,-11.784865823398492,-11.664348538902964,1000m
105,-11.743173413518692,-11.818865558242228,1000ma
106,-11.958639001006308,-11.74849064107343,1000mah
107,-11.590849701211832,-11.818865558242228,1000mb
108,-11.684594524958555,-11.818865558242228,1000mbit
109,-11.793417710807965,-11.425645445571728,1000mbps
110,-11.666175921558384,-11.818865558242228,1000mhz
111,-11.619440121765244,-11.633548234788577,1000mm
112,-11.958639001006308,-11.68508850949929,1000nds
113,-11.958639001006308,-11.74904856812548,1000s
114,-11.958639001006308,-11.764227517064118,1000th
115,-11.958639001006308,-11.630580395055182,1000va
116,-11.737324782436716,-11.192172522922837,1000w
117,-11.70562359387781,-11.818865558242228,1000watt
118,-11.719371344790142,-11.818865558242228,1000x
119,-11.832173241761964,-11.818865558242228,10011
