,Negative,Positive,Word
0,1.8191417421373365e-05,1.543050218469196e-05,00
1,1.3858694850950361e-05,9.249940153087816e-06,000
2,7.68396246392089e-06,7.786107772077408e-06,0000
3,7.250350535979748e-06,7.364307352904194e-06,0000001
4,8.264656950893912e-06,7.364307352904194e-06,0001
5,6.923283713259907e-06,7.364307352904194e-06,0005
6,8.957262592116551e-06,8.9092671358527e-06,001
7,6.993231851961515e-06,7.364307352904194e-06,002
8,6.403671879123911e-06,9.460423415296855e-06,00248
9,7.62516686751852e-06,7.364307352904194e-06,002v
10,6.403671879123911e-06,8.038433580283386e-06,003
11,6.903956030675854e-06,8.465053894869251e-06,005
12,7.412803438045524e-06,7.364307352904194e-06,005thd
13,6.403671879123911e-06,8.507579486980458e-06,006
14,8.284998362084515e-06,7.364307352904194e-06,006y
15,6.403671879123911e-06,8.17656338858972e-06,007
16,8.369102433296736e-06,7.364307352904194e-06,008
17,8.332374944579498e-06,7.364307352904194e-06,00am
18,9.471320181299723e-06,7.364307352904194e-06,00pm
19,6.403671879123911e-06,8.065318973379458e-06,00s
20,2.6383539362209302e-05,1.1604605103266656e-05,01
21,1.0928814053411901e-05,8.768584873498652e-06,010
22,6.403671879123911e-06,1.0627264071559728e-05,0115
23,7.3061588663121775e-06,7.364307352904194e-06,011855
24,6.403671879123911e-06,7.860388826138913e-06,012
25,7.629891284833804e-06,7.364307352904194e-06,0123
26,6.403671879123911e-06,7.960670175631016e-06,014mm
27,6.403671879123911e-06,8.578906297456719e-06,015
28,7.254247860655839e-06,7.364307352904194e-06,01526
29,6.403671879123911e-06,8.49240896732651e-06,018
30,8.130619882322078e-06,8.450447663726928e-06,019
31,7.553509647591151e-06,7.364307352904194e-06,01961
32,8.994764042369703e-06,7.364307352904194e-06,01mhz
33,8.142496206447541e-06,7.364307352904194e-06,01mm
34,1.9722865534834883e-05,1.1709214199040008e-05,02
35,9.059411256276134e-06,8.420675645023205e-06,020
36,6.403671879123911e-06,1.0622856573995112e-05,02047
37,6.403671879123911e-06,7.779742258180051e-06,02072009
38,6.403671879123911e-06,7.960670175631016e-06,024mm
39,6.719143987975498e-06,9.56877269353399e-06,025
40,8.045750512284995e-06,7.364307352904194e-06,025215290053
41,6.8217897389765505e-06,7.364307352904194e-06,0258
42,1.1030752127252263e-05,7.364307352904194e-06,026
43,6.403671879123911e-06,9.99207961415164e-06,02c
44,7.021691790881302e-06,7.364307352904194e-06,02mb
45,1.5083688634490071e-05,1.9764532820729746e-05,03
46,6.403671879123911e-06,9.225589638247383e-06,03182
47,7.348158688837541e-06,7.364307352904194e-06,0361
48,6.403671879123911e-06,7.961509320211832e-06,037
49,6.403671879123911e-06,7.960670175631016e-06,03mm
50,6.403671879123911e-06,9.988689468096232e-06,03rg20
51,1.7062176025754736e-05,1.3543151138401736e-05,04
52,7.80174417015129e-06,8.059449354241318e-06,0403
53,6.403671879123911e-06,8.094501003446158e-06,042388
54,7.873018197129303e-06,7.364307352904194e-06,045
55,6.403671879123911e-06,1.1222204660810247e-05,045m
56,7.4204602813107406e-06,7.364307352904194e-06,04mpsless
57,3.274320409113804e-05,1.7325470866109617e-05,05
58,9.746848150285135e-06,7.364307352904194e-06,050
59,6.403671879123911e-06,8.47941121311351e-06,0500
60,6.706905545164952e-06,7.364307352904194e-06,0508
61,6.948040803555714e-06,7.364307352904194e-06,055
62,6.403671879123911e-06,8.058601260740696e-06,05598
63,6.403671879123911e-06,9.866000323561558e-06,0562
64,7.348158688837541e-06,7.364307352904194e-06,0577
65,7.057666867088695e-06,7.364307352904194e-06,05a
66,8.332178353997531e-06,7.364307352904194e-06,05mm
67,2.478720578453171e-05,2.0710830016287736e-05,06
68,7.3061588663121775e-06,7.364307352904194e-06,060805
69,6.70774443609448e-06,7.364307352904194e-06,062011
70,6.403671879123911e-06,7.954901814938611e-06,06414
71,8.530225814566042e-06,7.364307352904194e-06,06i
72,6.403671879123911e-06,7.787583359479995e-06,06m
73,1.855259301107952e-05,1.2664801557299594e-05,07
74,7.792781297591872e-06,7.364307352904194e-06,0700
75,7.412803438045524e-06,7.364307352904194e-06,0707
76,6.403671879123911e-06,7.913695073730069e-06,073102
77,6.403671879123911e-06,8.863666160076005e-06,0750
78,7.747939029331605e-06,7.364307352904194e-06,075mm
79,8.119411262515879e-06,7.364307352904194e-06,079
80,7.837076612977345e-06,7.364307352904194e-06,07i
81,1.5724642354433205e-05,1.6373165346276283e-05,08
82,6.880104020767841e-06,7.364307352904194e-06,080
83,7.15302148745712e-06,7.364307352904194e-06,08387
84,7.837334529600428e-06,7.364307352904194e-06,088lbp
85,1.7333207807744115e-05,1.370027672256305e-05,09
86,7.03366030893188e-06,9.33548780211211e-06,091
87,8.248010138541328e-06,7.364307352904194e-06,099
88,9.022042100416404e-06,7.364307352904194e-06,0lympus
89,6.403671879123911e-06,1.0730826641316432e-05,0ptical
90,1.0050994623802477e-05,7.364307352904194e-06,0s
91,7.456237664788675e-06,7.364307352904194e-06,0sx
92,0.00033172791796504765,0.00024236904705459848,10
93,0.00032180249154253296,0.00043173051756354727,100
94,9.096246507309653e-05,8.562330439376625e-05,1000
95,1.886675966220823e-05,2.0223338005213126e-05,10000
96,7.825980948688806e-06,1.2849912401784522e-05,100000
97,6.881294386687651e-06,7.364307352904194e-06,100000000
98,6.935067048109828e-06,7.364307352904194e-06,1000021669
99,6.403671879123911e-06,8.998229434749549e-06,10000mah
100,9.03325839924929e-06,7.364307352904194e-06,1000ap
101,7.123700005486926e-06,7.364307352904194e-06,1000base
102,6.925542643998222e-06,7.364307352904194e-06,1000d
103,6.403671879123911e-06,9.044061144527087e-06,1000h
104,7.61899700630432e-06,8.594839964536667e-06,1000m
105,7.943366234712296e-06,7.364307352904194e-06,1000ma
106,6.403671879123911e-06,7.90124164116517e-06,1000mah
107,9.2503450797966e-06,7.364307352904194e-06,1000mb
108,8.422578638783064e-06,7.364307352904194e-06,1000mbit
109,7.554118016051967e-06,1.091202194723426e-05,1000mbps
110,8.579148244814231e-06,7.364307352904194e-06,1000mhz
111,8.989618721647855e-06,8.863682613948024e-06,1000mm
112,6.403671879123911e-06,8.418419042615077e-06,1000nds
113,6.403671879123911e-06,7.896834554239609e-06,1000s
114,6.403671879123911e-06,7.777874037605794e-06,1000th
115,6.403671879123911e-06,8.890027678020438e-06,1000va
116,7.989960175936755e-06,1.3781650521941728e-05,1000w
117,8.247308989830378e-06,7.364307352904194e-06,1000watt
118,8.134702854239999e-06,7.364307352904194e-06,1000x
119,7.266954687255555e-06,7.364307352904194e-06,10011
120,6.403671879123911e-06,8.953719493945604e-06,1001lwx
121,7.186521083502062e-06,7.364307352904194e-06,1001st
122,9.444217692589137e-06,1.1449236710069873e-05,1001z
123,6.403671879123911e-06,8.318235583070932e-06,1002
124,7.510515061433611e-06,7.364307352904194e-06,1003
125,9.504493102149291e-06,1.0442785548451162e-05,1004
126,6.710364648474305e-06,1.2361409465953242e-05,1005
127,6.403671879123911e-06,1.099139083520378e-05,1005ha
128,7.636057064964312e-06,7.364307352904194e-06,1006
129,7.753650179248448e-06,7.364307352904194e-06,1007
130,8.293503798033464e-06,7.364307352904194e-06,1008
131,6.403671879123911e-06,1.0308685292247576e-05,100a
132,6.403671879123911e-06,8.093601399229966e-06,100aw
133,6.403671879123911e-06,8.623283872485679e-06,100b
134,6.403671879123911e-06,8.623283872485679e-06,100b45
135,7.123700005486926e-06,7.364307352904194e-06,100base
136,6.403671879123911e-06,9.477397571817877e-06,100baset
137,6.403671879123911e-06,1.0225694058488106e-05,100basetx
138,6.403671879123911e-06,8.906252040952447e-06,100bt
139,9.810195317842315e-06,9.90568141017486e-06,100c
140,6.403671879123911e-06,9.63622383939198e-06,100d
141,6.403671879123911e-06,8.5568642700283e-06,100db
142,6.403671879123911e-06,1.0203540641503375e-05,100dg
143,7.269458226057706e-06,9.988978205607085e-06,100eg
144,7.819625714966315e-06,1.0054063650335244e-05,100feet
145,2.14351604630309e-05,2.0262605291475487e-05,100ft
146,9.904920636133883e-06,1.2103092788727566e-05,100hz
147,6.403671879123911e-06,7.575112828686024e-06,100iso
148,6.870403357144372e-06,7.364307352904194e-06,100kb
149,7.09148244126603e-06,7.364307352904194e-06,100kwer
150,9.866604497275788e-06,8.534947062885954e-06,100m
151,8.061333789475417e-06,7.364307352904194e-06,100ma
152,1.634919021098285e-05,1.1569217266341327e-05,100mb
153,9.004808662610506e-06,8.90702522068204e-06,100mbit
154,1.879784470894254e-05,1.7926781957133736e-05,100mbps
155,8.018402456400222e-06,7.364307352904194e-06,100mbs
156,7.3091519275826935e-06,7.364307352904194e-06,100megabits
157,1.0314725779739617e-05,7.364307352904194e-06,100mhz
158,1.295288900694491e-05,5.043492088296486e-05,100mm
159,6.403671879123911e-06,8.720962670815386e-06,100mpbps
160,8.116645099400922e-06,1.0890057287480196e-05,100mps
161,6.403671879123911e-06,1.146795463672978e-05,100pack
162,6.403671879123911e-06,8.783963668282805e-06,100pct
163,7.34692961998339e-06,7.364307352904194e-06,100pk
164,1.0174766639265128e-05,1.4733399788715079e-05,100s
165,8.139915214011926e-06,7.364307352904194e-06,100th
166,8.930947094613146e-06,7.364307352904194e-06,100tx
167,6.403671879123911e-06,8.17314221737836e-06,100ve
168,1.668847879024466e-05,1.2679003545058122e-05,100w
169,1.0262923355863513e-05,7.364307352904194e-06,100watt
170,7.848664013819281e-06,7.364307352904194e-06,100watts
171,7.705467818108221e-06,7.364307352904194e-06,100wow
172,1.1013300828793922e-05,9.143744567859108e-06,100x
173,6.880104020767841e-06,7.364307352904194e-06,100x100
174,7.14884958006329e-06,7.364307352904194e-06,100xx
175,1.9568574912676913e-05,1.3954562909646991e-05,101
176,1.2453852257190099e-05,9.371095276298565e-06,1010
177,7.490781325407903e-06,7.364307352904194e-06,10105
178,6.403671879123911e-06,1.4037130147820687e-05,1010lt
179,6.403671879123911e-06,7.736491835941759e-06,1010lts
180,8.966228345513195e-06,7.364307352904194e-06,1011
181,1.0175727533761815e-05,7.364307352904194e-06,1012
182,8.994448877355227e-06,7.364307352904194e-06,10126
183,6.403671879123911e-06,8.21721205056292e-06,1015
184,8.643207819749557e-06,7.364307352904194e-06,1019
185,7.161969888818148e-06,7.364307352904194e-06,1019ahk
186,7.398951740378024e-06,7.364307352904194e-06,101p
187,1.8543744834812204e-05,1.6030825754618062e-05,102
188,8.397159558344645e-06,1.423839618380141e-05,1020
189,7.354800791165334e-06,7.364307352904194e-06,102030
190,1.1373201001823856e-05,7.364307352904194e-06,1022
191,6.403671879123911e-06,8.21721205056292e-06,1023
192,1.1393805552246674e-05,1.097917228930742e-05,1024
193,7.530681798886776e-06,7.364307352904194e-06,1024d
194,1.5189466002931496e-05,1.2680805336946983e-05,1024x768
195,7.9169178579941e-06,7.364307352904194e-06,1025
196,7.855500794920817e-06,7.364307352904194e-06,1026
197,9.860047797652464e-06,7.364307352904194e-06,1028
198,6.403671879123911e-06,8.133354478156851e-06,1028x768
199,7.268795735671335e-06,7.364307352904194e-06,102dv
200,1.578492367933617e-05,8.58359547091558e-06,103
201,7.791216764970557e-06,7.364307352904194e-06,1036
202,6.7297930347101756e-06,7.364307352904194e-06,1037
203,6.403671879123911e-06,8.607709784021331e-06,10380
204,8.384482533168233e-06,7.364307352904194e-06,1039
205,1.5024445420958352e-05,1.9347917168199813e-05,104
206,8.316198753135401e-06,7.364307352904194e-06,1040
207,9.42517507503292e-06,7.364307352904194e-06,10411
208,9.060299000938327e-06,7.364307352904194e-06,1044
209,6.403671879123911e-06,8.864187441064354e-06,1045
210,7.841547335722032e-06,7.364307352904194e-06,1049
211,3.232263498616803e-05,4.982958148092345e-05,105
212,7.25676654863751e-06,8.355339048251094e-06,1050
213,8.598792185421099e-06,7.364307352904194e-06,1053
214,9.830064227902957e-06,7.364307352904194e-06,1055
215,6.403671879123911e-06,8.208912085358581e-06,1058
216,8.598792185421099e-06,7.364307352904194e-06,1059
217,6.7384552243306615e-06,7.364307352904194e-06,105c
218,7.105500579000371e-06,7.364307352904194e-06,105d
219,7.105500579000371e-06,7.364307352904194e-06,105h
220,1.0396513583245759e-05,1.121589123391904e-05,105l
221,1.863918509608416e-05,3.8626470401457626e-05,105mm
222,6.403671879123911e-06,9.008072622106344e-06,105nikkor
223,1.5154651040833483e-05,8.610567785628383e-06,106
224,6.7937085143639455e-06,7.364307352904194e-06,1060
225,7.3628930731475066e-06,7.364307352904194e-06,1063
226,7.503554089796588e-06,8.843556827822842e-06,1064
227,8.401371527452158e-06,7.364307352904194e-06,1065
228,8.31606571920018e-06,7.364307352904194e-06,1068
229,7.546046289842873e-06,7.364307352904194e-06,106v
230,1.0287301512137682e-05,8.139221848537704e-06,107
231,6.403671879123911e-06,8.749604194335729e-06,1070
232,6.772797724752925e-06,8.65296700877095e-06,1071
233,8.713536124923105e-06,7.364307352904194e-06,107160
234,7.893223787074013e-06,7.364307352904194e-06,1073
235,8.124244141427888e-06,7.364307352904194e-06,1075
236,6.787058314771125e-06,7.364307352904194e-06,1077
237,8.05864180461576e-06,7.364307352904194e-06,1078
238,6.403671879123911e-06,8.741949373334328e-06,1079
239,6.787058314771125e-06,7.364307352904194e-06,107x
240,1.3263992333977043e-05,8.862404094470816e-06,108
241,1.2617244787123041e-05,1.3365654301443912e-05,1080
242,1.151667325519598e-05,1.598896678861285e-05,1080i
243,1.9785237944202073e-05,4.2029782335856024e-05,1080p
244,6.403671879123911e-06,9.382381724469956e-06,1080p60fps
245,7.23926944776241e-06,7.364307352904194e-06,1081
246,6.403671879123911e-06,9.596695905818962e-06,10811b
247,6.403671879123911e-06,9.264695294915414e-06,1082
248,7.040754592634029e-06,7.364307352904194e-06,1088
249,9.118816600582948e-06,7.364307352904194e-06,108g
250,6.403671879123911e-06,9.924267228189653e-06,108m
251,9.168674185495938e-06,1.0037141951859222e-05,108mbps
252,6.403671879123911e-06,8.085337358406022e-06,108mhz
253,6.403671879123911e-06,8.68043004914662e-06,108mpbs
254,6.403671879123911e-06,8.494502937611624e-06,108vac
255,6.839518782489707e-06,1.0203874163959312e-05,109
256,6.403671879123911e-06,8.300076469713017e-06,10amp
257,8.375229640752955e-06,7.364307352904194e-06,10amps
258,6.6762456665532065e-06,7.364307352904194e-06,10aug2015
259,1.1911067313725674e-05,7.364307352904194e-06,10awg
260,7.123700005486926e-06,7.364307352904194e-06,10base
261,8.733488311453297e-06,7.364307352904194e-06,10base2
262,8.654880432851337e-06,1.0416043700710095e-05,10baset
263,7.432987977986215e-06,7.364307352904194e-06,10bucks
264,7.334052982870354e-06,8.560617708746523e-06,10c
265,1.9486348735220066e-05,1.6422487526573067e-05,10d
266,1.0422210846017042e-05,9.247563583906668e-06,10db
267,8.512833083780498e-06,7.364307352904194e-06,10eg
268,7.159384754682345e-06,7.364307352904194e-06,10f
269,1.7203970215085502e-05,1.4200353410240427e-05,10ft
270,7.723177039204106e-06,7.364307352904194e-06,10gage
271,7.71810888102358e-06,1.2378765754197872e-05,10gb
272,8.367594401217303e-06,7.364307352904194e-06,10gbase
273,7.4381582857243245e-06,9.389542480667483e-06,10gbe
274,1.2295439445404082e-05,7.364307352904194e-06,10gbit
275,8.313761634421135e-06,8.097214460419454e-06,10gig
276,8.293458676373768e-06,7.364307352904194e-06,10inch
277,7.179533647195e-06,7.364307352904194e-06,10is
278,8.362345845608949e-06,9.756346105066142e-06,10k
279,6.403671879123911e-06,8.469389984997125e-06,10kb
280,6.403671879123911e-06,8.469389984997125e-06,10kbits
281,6.403671879123911e-06,8.108793739361883e-06,10kh
282,8.187944423622118e-06,7.364307352904194e-06,10khz
283,6.403671879123911e-06,9.525036306754625e-06,10l
284,9.813062412711688e-06,1.1074357163520748e-05,10m
285,1.047971564395003e-05,9.004900730790504e-06,10mb
286,7.769348425235632e-06,7.364307352904194e-06,10mbits
287,1.2572355472433623e-05,1.0315569287033445e-05,10mbps
288,9.047451823259103e-06,7.364307352904194e-06,10meg
289,1.0538793579892056e-05,9.392010735937422e-06,10min
290,1.532016255292046e-05,1.707952980177941e-05,10mm
291,6.403671879123911e-06,9.351365504232826e-06,10mp
292,6.403671879123911e-06,9.23416045658917e-06,10ms
293,7.19696657332919e-06,7.364307352904194e-06,10nh
294,7.328128748774764e-06,7.364307352904194e-06,10oz
295,8.16270231464089e-06,7.364307352904194e-06,10pm
296,7.773003864915151e-06,8.326982836142446e-06,10s
297,6.403671879123911e-06,1.2262462965287401e-05,10tc104
298,1.81507147620194e-05,9.11151968584313e-06,10th
299,6.403671879123911e-06,9.544463090018545e-06,10that
300,6.403671879123911e-06,8.422536162193007e-06,10v
301,8.44493392991945e-06,8.056213197516284e-06,10w
302,3.270881321513633e-05,2.6675167071991066e-05,10x
303,6.403671879123911e-06,8.445160376483418e-06,10x10
304,6.403671879123911e-06,8.125870252795727e-06,10x12
305,1.0941432591213418e-05,1.3267343936490723e-05,10x25
306,6.403671879123911e-06,8.842334658956506e-06,10x25s
307,7.475552050688195e-06,7.364307352904194e-06,10x30
308,9.305996648390995e-06,7.364307352904194e-06,10x32
309,6.403671879123911e-06,9.47845971188556e-06,10x40
310,6.403671879123911e-06,1.1088576320407417e-05,10x42
311,2.0178357142549125e-05,1.720160862858381e-05,10x50
312,6.403671879123911e-06,1.0091478669605489e-05,10x50s
313,6.403671879123911e-06,8.290152388890884e-06,10xxx
314,1.2250240078392905e-05,7.364307352904194e-06,10year
315,8.437453207994742e-06,7.364307352904194e-06,10yo
316,6.403671879123911e-06,8.66797645862522e-06,10yrs
317,8.855078081974038e-05,6.062763747302097e-05,11
318,2.8558153178564125e-05,2.966027041420666e-05,110
319,1.1810179115872713e-05,1.5510197319719414e-05,1100
320,8.015559547553191e-06,7.364307352904194e-06,11000
321,7.0428777232897875e-06,7.364307352904194e-06,11003
322,7.221995313219649e-06,9.131974604688678e-06,1100d
323,7.3929983188940156e-06,7.364307352904194e-06,11010
324,8.022263921656616e-06,7.364307352904194e-06,1101mm
325,6.403671879123911e-06,8.730860942948356e-06,1103
326,7.262554816565181e-06,7.364307352904194e-06,110934
327,7.289578732640635e-06,7.364307352904194e-06,110a
328,6.403671879123911e-06,1.0322465965089317e-05,110c
329,7.4807397576156866e-06,7.364307352904194e-06,110mbps
330,7.612012287340726e-06,7.984866585092903e-06,110mm
331,1.3490629187908058e-05,1.428831876785198e-05,110v
332,8.98904313304176e-06,9.496534823547743e-06,111
333,6.403671879123911e-06,8.74554926372135e-06,1110
334,6.884509542808514e-06,7.364307352904194e-06,11100
335,7.434525789405707e-06,7.364307352904194e-06,1110w
336,6.944506381458925e-06,7.364307352904194e-06,11187
337,6.403671879123911e-06,9.584162086595046e-06,111mb
338,6.6838076114855236e-06,7.69475903459815e-06,111mm
339,7.318413583616342e-06,7.364307352904194e-06,111mp
340,6.913677146172698e-06,7.364307352904194e-06,112
341,7.462491295723731e-06,7.364307352904194e-06,1120c
342,6.403671879123911e-06,8.225931481015525e-06,112108
343,6.403671879123911e-06,8.16696444804484e-06,112kbps
344,7.0930429035627035e-06,7.766281242200782e-06,113
345,6.403671879123911e-06,8.300706048115642e-06,1130
346,7.573384780584215e-06,7.364307352904194e-06,1135
347,6.403671879123911e-06,8.48025168892496e-06,1135kb
348,6.403671879123911e-06,7.736491835941759e-06,113ghz
349,7.054198812187725e-06,8.119733398033443e-06,114
350,7.130358405960328e-06,7.364307352904194e-06,1140
351,6.403671879123911e-06,8.054710462910714e-06,11466
352,7.543384154664266e-06,7.364307352904194e-06,114p
353,1.4841337485528023e-05,1.1173606839731199e-05,115
354,7.909997454598889e-06,8.839866660509035e-06,1150
355,8.55312648414897e-06,9.75013994977757e-06,11500
356,8.455336608548936e-06,7.364307352904194e-06,115200
357,6.403671879123911e-06,8.22752116210557e-06,1152x864
358,6.403671879123911e-06,9.044061144527087e-06,1157
359,9.735476311202456e-06,8.115626782763714e-06,116
360,6.403671879123911e-06,8.586978486155088e-06,1163
361,7.071507554120793e-06,7.364307352904194e-06,11665
362,7.780344200098364e-06,7.364307352904194e-06,116na
363,9.61207182802777e-06,7.766281242200782e-06,117
364,6.403671879123911e-06,8.139298669597756e-06,117mbps
365,8.212617936869968e-06,7.890714664461903e-06,118
366,6.403671879123911e-06,9.512004015199919e-06,1180
367,1.1474875887207168e-05,7.364307352904194e-06,1189
368,7.297219118064756e-06,7.364307352904194e-06,118mb
369,8.987203895642434e-06,7.364307352904194e-06,118v
370,8.573668383271409e-06,8.865873291332783e-06,119
371,7.090211086878388e-06,7.364307352904194e-06,11900
372,7.423310005436717e-06,7.364307352904194e-06,1192
373,1.4667188174391056e-05,7.364307352904194e-06,1199
374,8.04846825352226e-06,7.364307352904194e-06,11999
375,1.05611375968011e-05,7.364307352904194e-06,11b
376,6.403671879123911e-06,1.0439775941038747e-05,11c
377,8.212820888308829e-06,7.364307352904194e-06,11db
378,8.481255272014283e-06,7.364307352904194e-06,11g
379,6.403671879123911e-06,7.915356667319783e-06,11gb
380,7.221271503539699e-06,7.364307352904194e-06,11khz
381,6.403671879123911e-06,8.101348361742028e-06,11lbs
382,6.7675150522786425e-06,7.93822751645657e-06,11mb
383,6.403671879123911e-06,8.116442834237848e-06,11mbit
384,7.434450322341589e-06,9.049148805876229e-06,11mbps
385,6.403671879123911e-06,9.850114388476268e-06,11mm
386,7.597750506966194e-06,7.364307352904194e-06,11mpbs
387,7.649862508597586e-06,7.364307352904194e-06,11mps
388,7.237319635703987e-06,7.364307352904194e-06,11nov2004
389,6.6946302100002706e-06,7.364307352904194e-06,11oz
390,8.452684487412395e-06,7.85635377004874e-06,11pm
391,9.00790193421021e-06,8.583256820971776e-06,11th
392,6.403671879123911e-06,7.976616176721427e-06,11watts
393,7.707452461133997e-06,7.364307352904194e-06,11x
394,6.403671879123911e-06,8.878469455946804e-06,11x13
