,Negative,Positive,Word
0,-8.874640979491133,-9.253902216235264,00
1,-10.085439748887469,-9.823816756371262,000
2,-13.682752009475914,-14.05792326096852,00000000
3,-13.682752009475914,-14.05792326096852,000001
4,-14.37589919003586,-12.959310972300411,000919
5,-14.37589919003586,-13.364776080408575,000hz
6,-13.682752009475914,-14.05792326096852,000xxxxx
7,-12.429989040980546,-13.364776080408575,001
8,-14.37589919003586,-12.959310972300411,002
9,-14.37589919003586,-12.959310972300411,002a
10,-13.27728690136775,-14.05792326096852,00490100
11,-13.682752009475914,-13.364776080408575,005
12,-13.27728690136775,-13.364776080408575,006
13,-13.682752009475914,-14.05792326096852,006y
14,-14.37589919003586,-13.364776080408575,007
15,-13.682752009475914,-14.05792326096852,008
16,-12.584139720807805,-14.05792326096852,00am
17,-12.76646127760176,-14.05792326096852,00pm
18,-14.37589919003586,-13.364776080408575,00s
19,-10.591709556117598,-12.67162889984863,01
20,-12.76646127760176,-12.266163791740466,010
21,-12.429989040980546,-12.44848534853442,010m
22,-14.37589919003586,-13.364776080408575,0115
23,-13.682752009475914,-14.05792326096852,011855
24,-14.37589919003586,-13.364776080408575,012
25,-13.682752009475914,-14.05792326096852,0123
26,-13.27728690136775,-14.05792326096852,01526
27,-14.37589919003586,-13.364776080408575,018
28,-14.37589919003586,-13.364776080408575,0183
29,-14.37589919003586,-13.364776080408575,019
30,-13.682752009475914,-14.05792326096852,01961
31,-13.682752009475914,-14.05792326096852,01mm
32,-11.284856736677543,-11.66002798817015,02
33,-14.37589919003586,-13.364776080408575,020
34,-14.37589919003586,-13.364776080408575,0240521595
35,-13.682752009475914,-14.05792326096852,025
36,-13.682752009475914,-14.05792326096852,025215290053
37,-13.682752009475914,-14.05792326096852,0258
38,-12.76646127760176,-14.05792326096852,026
39,-14.37589919003586,-13.364776080408575,02c
40,-13.682752009475914,-14.05792326096852,02v
41,-11.197845359687914,-11.285334538728739,03
42,-14.37589919003586,-13.364776080408575,031
43,-13.682752009475914,-14.05792326096852,0310021431
44,-14.37589919003586,-12.959310972300411,03182
45,-14.37589919003586,-13.364776080408575,0321819519
46,-14.37589919003586,-12.67162889984863,03rg20
47,-11.117802652014378,-11.11348428180208,04
48,-13.27728690136775,-12.959310972300411,0403
49,-14.37589919003586,-13.364776080408575,042388
50,-14.37589919003586,-13.364776080408575,0470114355
51,-14.37589919003586,-13.364776080408575,0470475420
52,-10.638229571752492,-11.755338167974475,05
53,-14.37589919003586,-13.364776080408575,0500
54,-14.37589919003586,-13.364776080408575,05598
55,-13.682752009475914,-14.05792326096852,05662
56,-13.682752009475914,-14.05792326096852,05thd
57,-11.117802652014378,-11.224709916912303,06
58,-13.682752009475914,-14.05792326096852,060805
59,-10.974701808373704,-11.66002798817015,07
60,-13.682752009475914,-14.05792326096852,0700
61,-14.37589919003586,-13.364776080408575,07am
62,-11.008603360049385,-12.112013111913207,08
63,-13.682752009475914,-14.05792326096852,08387
64,-13.27728690136775,-14.05792326096852,088lbp
65,-11.667848988933649,-11.755338167974475,09
66,-13.682752009475914,-14.05792326096852,091
67,-13.27728690136775,-13.364776080408575,0a
68,-13.682752009475914,-12.44848534853442,0d
69,-13.27728690136775,-14.05792326096852,0e
70,-14.37589919003586,-13.364776080408575,0f
71,-12.989604828915969,-14.05792326096852,0lympus
72,-14.37589919003586,-13.364776080408575,0mbps
73,-13.27728690136775,-13.364776080408575,0mm
74,-14.37589919003586,-13.364776080408575,0mp
75,-14.37589919003586,-13.364776080408575,0ptical
76,-13.27728690136775,-14.05792326096852,0r
77,-13.27728690136775,-14.05792326096852,0s
78,-13.682752009475914,-14.05792326096852,0sx
79,-13.27728690136775,-14.05792326096852,0v
80,-13.27728690136775,-12.44848534853442,0w
81,-13.27728690136775,-14.05792326096852,0w9
82,-13.682752009475914,-12.67162889984863,0x
83,-7.1973537062721595,-7.432530892960564,10
84,-7.967370398976361,-7.7461884518156054,100
85,-9.854110612986819,-9.580586446490313,1000
86,-13.682752009475914,-14.05792326096852,10000
87,-13.682752009475914,-14.05792326096852,1000021669
88,-14.37589919003586,-13.364776080408575,10000mah
89,-13.27728690136775,-14.05792326096852,1000ap
90,-13.682752009475914,-14.05792326096852,1000d
91,-13.682752009475914,-14.05792326096852,1000m
92,-13.27728690136775,-14.05792326096852,1000ma
93,-14.37589919003586,-13.364776080408575,1000mah
94,-12.989604828915969,-14.05792326096852,1000mb
95,-13.27728690136775,-14.05792326096852,1000mbit
96,-12.989604828915969,-13.364776080408575,1000mbps
97,-13.682752009475914,-14.05792326096852,1000mhz
98,-13.682752009475914,-13.364776080408575,1000mm
99,-14.37589919003586,-13.364776080408575,1000nds
100,-13.682752009475914,-13.364776080408575,1000s
101,-14.37589919003586,-13.364776080408575,1000th
102,-14.37589919003586,-12.959310972300411,1000va
103,-13.27728690136775,-13.364776080408575,1000w
104,-13.682752009475914,-14.05792326096852,1000watt
105,-13.682752009475914,-14.05792326096852,1000x
106,-13.682752009475914,-14.05792326096852,10011
107,-14.37589919003586,-13.364776080408575,1001lwx
108,-13.682752009475914,-14.05792326096852,1001st
109,-13.27728690136775,-11.755338167974475,1001z
110,-14.37589919003586,-13.364776080408575,1005ha
111,-13.682752009475914,-14.05792326096852,1007
112,-13.682752009475914,-14.05792326096852,1008
113,-14.37589919003586,-13.364776080408575,100a
114,-14.37589919003586,-13.364776080408575,100aw
115,-14.37589919003586,-13.364776080408575,100b
116,-13.682752009475914,-14.05792326096852,100b12
117,-14.37589919003586,-13.364776080408575,100b45
118,-14.37589919003586,-13.364776080408575,100base
119,-14.37589919003586,-12.959310972300411,100baset
120,-14.37589919003586,-12.959310972300411,100basetx
121,-14.37589919003586,-13.364776080408575,100bt
122,-12.989604828915969,-13.364776080408575,100c
123,-14.37589919003586,-12.959310972300411,100d
124,-14.37589919003586,-13.364776080408575,100db
125,-14.37589919003586,-13.364776080408575,100dg
126,-13.682752009475914,-13.364776080408575,100eg
127,-14.37589919003586,-13.364776080408575,100feet
128,-11.542685845979644,-12.112013111913207,100ft
129,-12.429989040980546,-12.67162889984863,100hz
130,-14.37589919003586,-13.364776080408575,100iso
131,-13.682752009475914,-14.05792326096852,100k
132,-13.27728690136775,-14.05792326096852,100kb
133,-13.682752009475914,-14.05792326096852,100kbps
134,-13.682752009475914,-14.05792326096852,100km
135,-12.76646127760176,-13.364776080408575,100m
136,-13.682752009475914,-14.05792326096852,100ma
137,-11.542685845979644,-12.112013111913207,100mb
138,-12.989604828915969,-12.959310972300411,100mbit
139,-11.7368418604206,-12.112013111913207,100mbps
140,-13.682752009475914,-14.05792326096852,100mbs
141,-13.682752009475914,-14.05792326096852,100megabits
142,-13.27728690136775,-14.05792326096852,100mhz
143,-12.17867461269964,-10.369043806854584,100mm
144,-14.37589919003586,-13.364776080408575,100mpbps
145,-14.37589919003586,-13.364776080408575,100mph
146,-13.682752009475914,-13.364776080408575,100mps
147,-14.37589919003586,-13.364776080408575,100pack
148,-13.27728690136775,-14.05792326096852,100pc
149,-14.37589919003586,-13.364776080408575,100pct
150,-13.682752009475914,-14.05792326096852,100pk
151,-12.584139720807805,-12.266163791740466,100s
152,-13.682752009475914,-14.05792326096852,100th
153,-13.27728690136775,-14.05792326096852,100tx
154,-13.27728690136775,-14.05792326096852,100usd
155,-13.27728690136775,-14.05792326096852,100v
156,-14.37589919003586,-13.364776080408575,100ve
157,-12.073314097041813,-12.44848534853442,100w
158,-12.429989040980546,-14.05792326096852,100watt
159,-13.27728690136775,-14.05792326096852,100watts
160,-12.76646127760176,-12.67162889984863,100x
161,-13.682752009475914,-14.05792326096852,100x100
162,-11.667848988933649,-13.364776080408575,101
163,-14.37589919003586,-13.364776080408575,1010
164,-13.682752009475914,-14.05792326096852,101025700
165,-14.37589919003586,-11.418865931353261,1010lt
166,-14.37589919003586,-13.364776080408575,1010lts
167,-13.27728690136775,-14.05792326096852,1012
168,-13.682752009475914,-14.05792326096852,1019
169,-13.682752009475914,-14.05792326096852,1019ahk
170,-12.76646127760176,-14.05792326096852,101p
171,-12.17867461269964,-12.112013111913207,102
172,-12.989604828915969,-12.67162889984863,1020
173,-12.989604828915969,-14.05792326096852,1022
174,-14.37589919003586,-13.364776080408575,1023
175,-14.37589919003586,-13.364776080408575,1023k
176,-11.978003917237489,-12.266163791740466,1024
177,-13.27728690136775,-14.05792326096852,1024d
178,-14.37589919003586,-13.364776080408575,1024x720
179,-12.584139720807805,-12.112013111913207,1024x768
180,-13.682752009475914,-14.05792326096852,102dv
181,-12.989604828915969,-14.05792326096852,103
182,-13.27728690136775,-14.05792326096852,10345
183,-14.37589919003586,-13.364776080408575,10380
184,-13.682752009475914,-14.05792326096852,103v
185,-12.76646127760176,-11.66002798817015,104
186,-13.682752009475914,-14.05792326096852,1040
187,-14.37589919003586,-12.959310972300411,1045
188,-13.682752009475914,-14.05792326096852,104s
189,-10.941911985550714,-10.369043806854584,105
190,-13.682752009475914,-12.959310972300411,1050
191,-13.682752009475914,-14.05792326096852,1055
192,-13.682752009475914,-14.05792326096852,105c
193,-12.584139720807805,-12.44848534853442,105l
194,-11.7368418604206,-10.56141569950204,105mm
195,-14.37589919003586,-13.364776080408575,105mml
196,-14.37589919003586,-13.364776080408575,105nikkor
197,-12.073314097041813,-14.05792326096852,106
198,-13.682752009475914,-14.05792326096852,1060
199,-12.429989040980546,-12.44848534853442,107
200,-14.37589919003586,-13.364776080408575,1070
201,-13.682752009475914,-14.05792326096852,107160
202,-14.37589919003586,-13.364776080408575,107269
203,-13.682752009475914,-14.05792326096852,107d
204,-11.978003917237489,-12.44848534853442,108
205,-12.296457648356023,-12.44848534853442,1080
206,-12.073314097041813,-11.167551503072357,1080i
207,-11.380166916481869,-10.762086394964191,1080p
208,-13.682752009475914,-14.05792326096852,108g
209,-14.37589919003586,-12.959310972300411,108m
210,-12.584139720807805,-12.44848534853442,108mbps
211,-14.37589919003586,-12.959310972300411,108mhz
212,-14.37589919003586,-13.364776080408575,108mpbs
213,-13.27728690136775,-14.05792326096852,10a
214,-14.37589919003586,-13.364776080408575,10amp
215,-13.682752009475914,-14.05792326096852,10amps
216,-13.682752009475914,-14.05792326096852,10aug2015
217,-12.76646127760176,-14.05792326096852,10awg
218,-14.37589919003586,-13.364776080408575,10base
219,-13.682752009475914,-14.05792326096852,10base2
220,-13.682752009475914,-12.67162889984863,10baset
221,-13.682752009475914,-14.05792326096852,10bucks
222,-13.682752009475914,-13.364776080408575,10c
223,-12.429989040980546,-11.8606986836323,10d
224,-12.76646127760176,-12.959310972300411,10db
225,-13.27728690136775,-14.05792326096852,10eg
226,-13.682752009475914,-14.05792326096852,10f
227,-12.073314097041813,-12.67162889984863,10ft
228,-12.989604828915969,-14.05792326096852,10g
229,-13.682752009475914,-14.05792326096852,10gauge
230,-14.37589919003586,-12.959310972300411,10gb
231,-13.682752009475914,-14.05792326096852,10gbase
232,-13.682752009475914,-14.05792326096852,10gbe
233,-12.989604828915969,-14.05792326096852,10gbit
234,-13.682752009475914,-12.959310972300411,10gig
235,-14.37589919003586,-13.364776080408575,10in
236,-13.682752009475914,-12.959310972300411,10k
237,-14.37589919003586,-13.364776080408575,10kb
238,-14.37589919003586,-13.364776080408575,10kbits
239,-12.989604828915969,-14.05792326096852,10khz
240,-14.37589919003586,-13.364776080408575,10l
241,-12.989604828915969,-14.05792326096852,10m
242,-12.429989040980546,-12.959310972300411,10mb
243,-13.27728690136775,-14.05792326096852,10mbits
244,-12.584139720807805,-13.364776080408575,10mbps
245,-13.27728690136775,-14.05792326096852,10meg
246,-13.682752009475914,-13.364776080408575,10min
247,-12.17867461269964,-11.66002798817015,10mm
248,-14.37589919003586,-13.364776080408575,10mp
249,-14.37589919003586,-13.364776080408575,10mph
250,-13.682752009475914,-14.05792326096852,10nh
251,-13.682752009475914,-14.05792326096852,10oz
252,-13.27728690136775,-14.05792326096852,10pm
253,-13.682752009475914,-14.05792326096852,10s
254,-13.682752009475914,-14.05792326096852,10secs
255,-11.978003917237489,-12.959310972300411,10th
256,-13.682752009475914,-13.364776080408575,10v
257,-13.27728690136775,-12.959310972300411,10w
258,-11.117802652014378,-10.690627430982046,10x
259,-14.37589919003586,-13.364776080408575,10x12
260,-13.682752009475914,-12.67162889984863,10x25
261,-14.37589919003586,-13.364776080408575,10x25s
262,-13.682752009475914,-13.364776080408575,10x30
263,-14.37589919003586,-13.364776080408575,10x30s
264,-13.27728690136775,-14.05792326096852,10x32
265,-14.37589919003586,-13.364776080408575,10x40
266,-14.37589919003586,-12.959310972300411,10x42
267,-12.073314097041813,-11.978481719288684,10x50
268,-14.37589919003586,-13.364776080408575,10x50s
269,-13.682752009475914,-14.05792326096852,10x70
270,-13.27728690136775,-14.05792326096852,10year
271,-13.682752009475914,-14.05792326096852,10yo
272,-14.37589919003586,-13.364776080408575,10yrs
273,-9.155543364957534,-9.321724812574026,11
274,-11.157023365167658,-11.11348428180208,110
275,-12.296457648356023,-12.112013111913207,1100
276,-13.682752009475914,-12.959310972300411,1100d
277,-14.37589919003586,-13.364776080408575,1103
278,-13.27728690136775,-14.05792326096852,110934
279,-13.682752009475914,-14.05792326096852,110a
280,-13.682752009475914,-14.05792326096852,110ac
281,-14.37589919003586,-12.67162889984863,110c
282,-14.37589919003586,-12.959310972300411,110lp
283,-13.27728690136775,-14.05792326096852,110mbps
284,-13.682752009475914,-12.959310972300411,110mm
285,-12.584139720807805,-12.44848534853442,110v
286,-14.37589919003586,-13.364776080408575,110w
287,-14.37589919003586,-12.959310972300411,110x
288,-13.27728690136775,-13.364776080408575,111
289,-14.37589919003586,-13.364776080408575,1110
290,-13.682752009475914,-14.05792326096852,1110w
291,-14.37589919003586,-13.364776080408575,111mm
292,-13.682752009475914,-14.05792326096852,1120c
293,-14.37589919003586,-12.959310972300411,112kbps
294,-13.682752009475914,-13.364776080408575,113
295,-14.37589919003586,-13.364776080408575,1135kb
296,-13.682752009475914,-14.05792326096852,113v
297,-13.682752009475914,-12.959310972300411,114
298,-13.27728690136775,-14.05792326096852,1140
299,-14.37589919003586,-13.364776080408575,114mm
300,-13.682752009475914,-14.05792326096852,114p
301,-12.073314097041813,-12.44848534853442,115
302,-13.682752009475914,-13.364776080408575,1150
303,-14.37589919003586,-13.364776080408575,11500
304,-14.37589919003586,-13.364776080408575,1152x864
305,-12.989604828915969,-14.05792326096852,115hz
306,-13.682752009475914,-14.05792326096852,115v
307,-12.989604828915969,-13.364776080408575,116
308,-13.682752009475914,-13.364776080408575,117
309,-14.37589919003586,-13.364776080408575,117mbps
310,-14.37589919003586,-12.959310972300411,117x
311,-13.682752009475914,-14.05792326096852,118
312,-14.37589919003586,-12.67162889984863,1180
313,-14.37589919003586,-13.364776080408575,1185209771
314,-14.37589919003586,-13.364776080408575,1185209810
315,-13.682752009475914,-14.05792326096852,118mb
316,-13.27728690136775,-14.05792326096852,118v
317,-12.429989040980546,-13.364776080408575,119
318,-13.682752009475914,-14.05792326096852,1199
319,-12.584139720807805,-13.364776080408575,11a
320,-10.35054749930071,-11.11348428180208,11b
321,-13.682752009475914,-14.05792326096852,11bg
322,-14.37589919003586,-12.959310972300411,11c
323,-13.682752009475914,-14.05792326096852,11db
324,-13.682752009475914,-14.05792326096852,11e
325,-10.764981277391636,-11.66002798817015,11g
326,-14.37589919003586,-13.364776080408575,11htncs0z0s
327,-13.682752009475914,-14.05792326096852,11khz
328,-14.37589919003586,-13.364776080408575,11lbs
329,-13.682752009475914,-13.364776080408575,11mb
330,-13.682752009475914,-13.364776080408575,11mbit
331,-13.27728690136775,-12.959310972300411,11mbps
332,-14.37589919003586,-13.364776080408575,11mm
333,-13.682752009475914,-14.05792326096852,11mpbs
334,-13.27728690136775,-14.05792326096852,11mps
335,-12.76646127760176,-12.959310972300411,11n
336,-13.682752009475914,-14.05792326096852,11nov2004
337,-13.682752009475914,-14.05792326096852,11pm
338,-12.989604828915969,-12.959310972300411,11th
339,-14.37589919003586,-13.364776080408575,11watts
340,-13.27728690136775,-14.05792326096852,11x
341,-14.37589919003586,-13.364776080408575,11x13
342,-14.37589919003586,-12.112013111913207,11x14
343,-14.37589919003586,-13.364776080408575,11x14s
344,-13.682752009475914,-13.364776080408575,11x17
345,-14.37589919003586,-13.364776080408575,11x18
346,-14.37589919003586,-13.364776080408575,11yrs
347,-8.342812968237059,-8.416016190030406,12
348,-10.29836174613014,-10.2512607711982,120
349,-11.284856736677543,-10.92242904503937,1200
350,-14.37589919003586,-13.364776080408575,1200for
351,-13.682752009475914,-14.05792326096852,1200ma
352,-13.682752009475914,-14.05792326096852,1200mile
353,-14.37589919003586,-13.364776080408575,1200mk2
354,-14.37589919003586,-13.364776080408575,1200mm
355,-14.37589919003586,-12.959310972300411,1200s
356,-14.37589919003586,-13.364776080408575,1200va
357,-13.682752009475914,-14.05792326096852,1201
358,-13.27728690136775,-14.05792326096852,120b
359,-14.37589919003586,-13.364776080408575,120db
360,-13.27728690136775,-14.05792326096852,120foot
361,-13.682752009475914,-14.05792326096852,120g
362,-12.989604828915969,-12.67162889984863,120gb
363,-12.989604828915969,-12.44848534853442,120hz
364,-13.27728690136775,-14.05792326096852,120mb
365,-12.76646127760176,-12.67162889984863,120mm
366,-12.989604828915969,-12.959310972300411,120s
367,-11.89099254024786,-12.44848534853442,120v
368,-14.37589919003586,-13.364776080408575,120vac
369,-13.682752009475914,-13.364776080408575,121
370,-13.682752009475914,-14.05792326096852,1218
371,-12.429989040980546,-13.364776080408575,122
372,-14.37589919003586,-12.67162889984863,1220
373,-14.37589919003586,-13.364776080408575,1222
374,-14.37589919003586,-12.959310972300411,1229664
375,-13.682752009475914,-14.05792326096852,1229q
376,-13.682752009475914,-14.05792326096852,122v
377,-13.27728690136775,-13.364776080408575,123
